City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
133,upington,-28.4478,21.2561,26.21,14,0,2.06,ZA,1698263024
134,greenville,35.6127,-77.3663,26.75,54,0,2.24,US,1698263025
135,coquimbo,-29.9533,-71.3436,15.85,77,75,4.63,CL,1698262827
136,kerikeri,-35.2268,173.9474,16.06,94,11,3.33,NZ,1698262923
137,kangding,30.0513,101.9603,8.79,97,100,1.3,CN,1698263026
138,punta arenas,-53.15,-70.9167,9.01,70,75,16.46,CL,1698262771
139,krotovka,53.2858,51.1686,-1.66,72,4,2.71,RU,1698263026
140,gwadar,25.1216,62.3254,26.25,78,41,3.36,PK,1698263027
141,newman,37.3138,-121.0208,21.8,24,16,1.27,US,1698262760
142,murzuq,25.9155,13.9184,26.51,21,100,2.63,LY,1698263027
143,qaqortoq,60.7167,-46.0333,0.72,80,100,2.87,GL,1698262708
144,toro,4.6117,-76.0814,28.38,79,73,1.93,CO,1698263027
145,mahina,-17.5065,-149.489,27.87,65,75,0.0,PF,1698262929
146,la'ie,21.6477,-157.9253,29.47,76,0,1.34,US,1698262852
147,yoloten,37.2989,62.3597,23.7,26,100,3.61,TM,1698263028
148,mokhsogollokh,61.4681,128.9203,-4.32,95,100,2.24,RU,1698263029
149,cabo san lucas,22.8909,-109.9124,29.17,52,20,2.06,MX,1698262733
150,kingscliff,-28.2667,153.5667,21.89,83,100,3.6,AU,1698263029
151,egilsstadir,65.2653,-14.3948,1.95,93,75,1.54,IS,1698262751
152,saint-pierre,-21.3393,55.4781,25.87,73,0,2.06,RE,1698262756
153,poteau,35.0537,-94.6236,27.86,54,40,4.63,US,1698263030
154,remire-montjoly,4.9167,-52.2667,32.02,62,0,5.66,GF,1698262850
155,ad dabbah,18.05,30.95,31.47,21,0,4.55,SD,1698262865
156,el bauga,18.262,33.9081,31.92,17,0,5.09,SD,1698263030
157,kani keli,-12.9536,45.1033,26.59,83,97,3.7,YT,1698263031
158,port shepstone,-30.7414,30.455,19.22,75,47,2.88,ZA,1698263031
159,kidal,18.4411,1.4078,29.39,12,28,4.78,ML,1698262868
160,san luis,-33.295,-66.3356,20.43,57,91,2.33,AR,1698263031
161,sidareja,-7.4846,108.7923,23.29,95,10,0.57,ID,1698263031
162,kolonia,50.9333,6.95,12.13,90,100,4.63,DE,1698262945
163,haiku-pauwela,20.9219,-156.3051,27.87,75,20,2.57,US,1698262826
164,protaras,35.0125,34.0583,23.33,78,24,0.98,CY,1698262960
165,susuman,62.7833,148.1667,-23.63,99,81,0.25,RU,1698262746
166,wailua homesteads,22.0669,-159.378,27.08,67,0,0.45,US,1698262717
167,inyonga,-6.7167,32.0667,19.52,90,100,3.06,TZ,1698263033
168,rikaze,29.25,88.8833,1.4,49,13,1.31,CN,1698263033
169,tangalle,6.024,80.7911,24.59,87,39,2.43,LK,1698263033
170,ust-nera,64.5667,143.2,-22.57,98,93,1.16,RU,1698262739
171,carnarvon,-24.8667,113.6333,19.84,81,0,7.42,AU,1698262763
172,boulsa,12.6675,-0.5758,32.7,24,95,2.4,BF,1698263034
173,amga,60.8953,131.9608,-6.76,97,100,0.27,RU,1698262933
174,scarborough,54.2797,-0.4044,11.06,93,100,0.45,GB,1698262801
175,as samawah,31.332,45.2944,22.89,54,2,2.12,IQ,1698263035
176,castillos,-34.1667,-53.8333,15.9,68,19,5.5,UY,1698262895
177,georgetown,5.4112,100.3354,26.96,92,20,1.54,MY,1698262479
178,bubaque,11.2833,-15.8333,28.58,75,100,3.52,GW,1698262875
179,mata-utu,-13.2816,-176.1745,27.13,75,100,9.88,WF,1698263036
180,brattleboro,42.8509,-72.5579,24.26,66,100,0.45,US,1698262827
181,akjoujt,19.6969,-14.4164,34.92,20,100,5.54,MR,1698263036
182,cuenca,-2.8833,-78.9833,26.07,29,75,2.57,EC,1698263036
183,turabah,21.2141,41.6331,25.29,35,81,4.48,SA,1698263036
184,blackmans bay,-43.0167,147.3167,4.85,85,100,0.45,AU,1698262708
185,vorkuta,67.5,64.0,-20.33,100,100,1.02,RU,1698263037
186,aykhal,66.0,111.5,-15.17,100,95,4.08,RU,1698262776
187,nchelenge,-9.3451,28.734,26.72,66,100,3.41,ZM,1698262615
188,christchurch,-43.5333,172.6333,22.45,52,59,2.57,NZ,1698263038
189,east wittering,50.7697,-0.8744,12.22,95,100,0.89,GB,1698263038
190,pagar alam,-4.0167,103.2667,21.2,95,97,0.42,ID,1698263020
191,nova sintra,14.8667,-24.7167,23.81,76,51,7.81,CV,1698262767
192,taldykorgan,45.0156,78.3739,12.34,43,87,2.6,KZ,1698263038
193,new martinsville,39.6445,-80.8576,24.95,38,92,2.68,US,1698263039
194,khovd,48.0056,91.6419,4.17,31,16,2.16,MN,1698263039
195,nyrob,60.733,56.7202,-4.53,92,100,2.23,RU,1698263039
196,zeya,53.75,127.2667,3.6,74,100,2.02,RU,1698263040
197,padina,45.1181,20.7272,18.62,56,100,2.96,RS,1698263040
198,ilulissat,69.2167,-51.1,-3.99,54,40,2.57,GL,1698262838
199,lebu,-37.6167,-73.65,12.75,68,0,10.57,CL,1698262772
200,saipan,15.1355,145.701,27.39,89,0,3.09,MP,1698262726
201,toliara,-23.35,43.6667,25.89,78,53,1.9,MG,1698262874
202,fort bragg,35.139,-79.006,26.57,52,0,2.06,US,1698262923
203,cole harbour,44.6724,-63.4751,15.66,83,75,9.26,CA,1698263041
204,ketchikan,55.3422,-131.6461,6.26,36,0,5.66,US,1698262854
205,qamdo,31.1667,97.2333,-2.5,52,73,1.55,CN,1698263042
206,ituiutaba,-18.9689,-49.465,28.05,58,100,1.86,BR,1698263042
207,uusikaupunki,60.8004,21.4084,-0.06,83,88,4.97,FI,1698263042
208,bucerias,20.75,-105.3333,31.1,67,0,4.17,MX,1698263042
209,alfredo v. bonfil,21.0833,-86.85,30.04,66,8,5.81,MX,1698263043
210,sfantu gheorghe,45.8667,25.7833,14.59,87,99,0.62,RO,1698263043
211,ocean city,39.2776,-74.5746,23.43,67,58,2.68,US,1698263043
212,kitimat,54.0524,-128.6534,4.39,53,9,1.79,CA,1698263043
213,tupiza,-21.45,-65.7167,26.18,8,22,7.98,BO,1698263044
214,kasaragod,12.5,75.0,23.95,91,78,1.46,IN,1698263044
215,mogadishu,2.0371,45.3438,27.2,82,18,5.01,SO,1698263044
216,hami,42.8,93.45,11.86,39,0,0.92,CN,1698263044
217,coahuayana de hidalgo,18.7,-103.6583,29.6,65,100,2.63,MX,1698263044
218,taroa,8.7058,171.2275,28.03,77,17,4.76,MH,1698263045
219,steinkjer,64.193,11.3851,0.52,94,100,1.72,NO,1698263045
220,san patricio,28.017,-97.5169,32.88,59,79,8.54,US,1698262836
221,heihe,50.2441,127.4902,3.58,51,46,6.62,CN,1698263045
222,port lincoln,-34.7333,135.8667,10.73,61,2,6.04,AU,1698262723
223,las palmas de gran canaria,28.0997,-15.4134,24.07,69,40,6.69,ES,1698263046
224,harstad,68.799,16.5293,2.01,92,100,7.6,NO,1698262786
225,margaret river,-33.95,115.0667,14.89,79,65,3.95,AU,1698262712
226,chibougamau,49.9168,-74.3659,7.79,100,100,2.06,CA,1698262771
227,taradale,-39.5333,176.85,20.01,63,96,0.89,NZ,1698263047
228,hawaiian paradise park,19.5933,-154.9731,28.91,76,40,2.57,US,1698262758
229,lompoc,34.6391,-120.4579,18.67,69,75,2.57,US,1698262900
230,fort mcmurray,56.7268,-111.381,-2.23,50,75,4.12,CA,1698263047
231,aguas belas,-9.1114,-37.1231,34.97,22,3,4.89,BR,1698263048
232,guthrie,35.8789,-97.4253,24.37,83,100,7.72,US,1698263048
233,t'q'ibuli,42.3512,42.9987,12.51,67,100,3.22,GE,1698263048
234,post,33.1909,-101.3782,25.65,42,47,4.76,US,1698263048
235,puerto baquerizo moreno,-0.9,-89.6,23.55,94,100,3.09,EC,1698262752
236,luderitz,-26.6481,15.1594,16.01,86,2,2.27,NA,1698262821
237,meadow lakes,61.6247,-149.6011,3.68,93,0,0.0,US,1698263049
238,ahus,55.9167,14.2833,7.78,97,100,5.66,SE,1698263049
239,labytnangi,66.6572,66.4183,-10.52,91,55,2.89,RU,1698263049
240,mossel bay,-34.1831,22.146,16.25,85,100,4.61,ZA,1698263049
241,benguela,-12.5763,13.4055,23.86,78,94,2.21,AO,1698263050
242,morehead city,34.7229,-76.726,25.0,68,0,4.12,US,1698262929
243,yamada,39.4667,141.95,12.62,85,67,2.66,JP,1698263050
244,anna regina,7.2644,-58.5077,29.31,73,100,4.47,GY,1698262870
245,camocim,-2.9022,-40.8411,27.36,71,15,8.02,BR,1698263050
246,buzet,45.4094,13.9667,16.65,93,73,2.58,HR,1698263051
247,tikapur,28.5,81.1333,19.24,71,0,1.7,NP,1698263051
248,at taj,24.2049,23.2857,23.02,30,0,3.99,LY,1698262924
249,mujiayingzi,42.1167,118.7833,5.17,36,0,0.63,CN,1698263051
250,beihai,21.4833,109.1,24.73,87,100,3.66,CN,1698263051
251,taloqan,36.7361,69.5345,18.72,29,100,2.74,AF,1698263052
252,champerico,14.3,-91.9167,34.3,78,60,4.59,GT,1698263052
253,puerto ayora,-0.7393,-90.3518,27.98,90,99,4.02,EC,1698262724
254,east london,-33.0153,27.9116,18.6,75,60,5.76,ZA,1698262916
255,novodvinsk,64.4165,40.8122,0.99,83,16,1.54,RU,1698263053
256,yeppoon,-23.1333,150.7333,19.88,88,5,1.64,AU,1698262777
257,vila do maio,15.1333,-23.2167,27.44,76,29,5.1,CV,1698263053
258,juticalpa,14.65,-86.2,35.08,65,99,2.4,HN,1698263053
259,chonchi,-42.6128,-73.8092,16.18,56,100,2.09,CL,1698262770
260,iron river,46.0927,-88.6423,11.42,84,100,1.78,US,1698263053
261,madinat ash shamal,26.1293,51.2009,29.27,63,0,5.89,QA,1698263054
262,tukrah,32.5341,20.5791,24.58,47,100,1.95,LY,1698263054
263,lupane,-18.9315,27.807,26.84,38,61,2.87,ZW,1698263054
264,lata,40.1629,-8.3327,19.49,96,100,3.29,PT,1698263054
265,vila velha,-20.3297,-40.2925,22.97,96,75,3.6,BR,1698262774
266,bredy,52.4153,60.3411,-1.64,79,99,4.36,RU,1698263055
267,suoyarvi,62.0833,32.35,-3.67,85,6,1.08,RU,1698263055
268,cabedelo,-6.9811,-34.8339,28.37,73,5,4.87,BR,1698263055
269,metlili chaamba,32.2667,3.6333,25.52,17,0,2.06,DZ,1698263055
270,vorgashor,67.5833,63.95,-18.82,100,100,1.06,RU,1698262732
271,tura,25.5198,90.2201,19.3,93,0,1.02,IN,1698262762
272,eregli,37.5133,34.0467,17.86,43,99,0.93,TR,1698263056
273,macapa,0.0389,-51.0664,33.99,49,40,4.12,BR,1698263056
274,halifax,44.6453,-63.5724,15.94,83,75,9.26,CA,1698263056
275,cooper's town,26.8667,-77.5167,25.68,64,26,11.27,BS,1698263057
276,saint-philippe,-21.3585,55.7679,23.77,81,4,5.67,RE,1698262941
277,eyl,7.9803,49.8164,27.32,78,67,5.45,SO,1698262820
278,balakhta,55.38,91.6,6.32,63,100,5.32,RU,1698263057
279,guiglo,6.5456,-7.4966,22.54,94,62,0.4,CI,1698263057
280,sofiyivka,48.0493,33.8746,13.26,83,100,7.17,UA,1698263058
281,holualoa,19.6228,-155.9522,28.26,68,20,4.12,US,1698263058
282,saudarkrokur,65.7461,-19.6394,1.97,79,99,0.27,IS,1698262913
283,arno,60.1167,18.6333,3.77,64,100,6.41,SE,1698262919
284,kaa-khem,51.6833,94.7333,2.45,41,100,1.22,RU,1698263059
285,hafar al-batin,28.4328,45.9708,21.32,68,75,6.69,SA,1698263059
286,semey,50.4111,80.2275,12.04,51,100,8.02,KZ,1698262932
287,grand-bassam,5.2118,-3.7388,26.98,87,95,1.84,CI,1698263059
288,baruun-urt,46.6806,113.2792,0.08,54,3,1.89,MN,1698262880
289,kharp,66.8014,65.8081,-11.78,88,52,3.25,RU,1698263060
290,flying fish cove,-10.4217,105.6791,25.82,88,100,4.12,CX,1698262904
291,iwanai,42.9744,140.5089,9.38,94,0,2.23,JP,1698263060
292,pont-a-mousson,48.9079,6.0589,13.24,95,100,7.72,FR,1698263061
293,la ronge,55.1001,-105.2842,-2.86,63,100,4.12,CA,1698262803
294,mooirivier,-29.2082,29.9946,11.27,88,66,0.76,ZA,1698263061
295,zangilan,39.0883,46.6512,16.93,61,95,1.04,AZ,1698263061
296,gulf park estates,30.3919,-88.7611,27.38,71,100,7.2,US,1698263061
297,al 'amarah,31.8406,47.1396,22.28,59,22,2.45,IQ,1698263062
298,shushtar,32.0455,48.8567,24.45,47,100,2.41,IR,1698263062
299,nurota,40.5614,65.6886,19.71,33,100,4.54,UZ,1698263062
300,ottumwa,41.02,-92.4113,20.3,90,100,2.06,US,1698263063
301,belyy yar,53.6039,91.3903,2.94,87,0,0.0,RU,1698262844
302,sao luiz gonzaga,-28.4083,-54.9608,20.44,76,83,4.35,BR,1698263063
303,saint-joseph,-21.3667,55.6167,25.26,79,4,2.98,RE,1698263063
304,yerofey pavlovich,53.9667,121.9667,-3.36,52,4,4.03,RU,1698263064
305,tolanaro,-25.0319,46.9987,23.04,78,40,2.57,MG,1698262517
306,murgab,37.4966,61.9714,21.93,40,100,7.2,TM,1698263065
307,vila franca do campo,37.7167,-25.4333,22.16,99,86,7.86,PT,1698262525
308,udayagiri,20.1333,84.3833,20.9,73,97,1.09,IN,1698263065
309,pisco,-13.7,-76.2167,21.03,78,100,4.12,PE,1698262898
310,bardai,11.65,7.2333,24.73,25,100,1.01,NG,1698262935
311,petropavlovsk-kamchatsky,53.0452,158.6483,4.14,78,40,4.0,RU,1698262721
312,ceyranbatan,40.5408,49.6597,14.84,73,60,3.45,AZ,1698263066
313,neryungri,56.6709,124.6491,-7.6,91,100,4.46,RU,1698263067
314,nizhneangarsk,55.7833,109.55,-1.11,45,100,3.58,RU,1698263067
315,alupka,44.4167,34.05,18.58,86,89,0.29,UA,1698263067
316,andapa,-14.65,49.65,21.61,96,98,0.34,MG,1698263067
317,nahiyat ash shinafiyah,31.5874,44.6602,22.76,56,0,2.42,IQ,1698263068
318,nagahama,35.3833,136.2667,13.15,92,0,2.0,JP,1698263068
319,vernon,50.2581,-119.2691,5.89,45,100,4.92,CA,1698262802
320,palikir - national government center,6.9248,158.1611,23.41,100,40,1.54,FM,1698262848
321,debre werk',10.6667,38.1667,15.39,71,100,0.51,ET,1698263069
322,atafu village,-8.5421,-172.5159,28.37,77,93,6.38,TK,1698262736
323,gaigeturi,33.4644,126.3183,16.03,72,0,3.09,KR,1698263069
